title,year,distributor,worldwide_gross,worldwide_profit_gross,worldwide_adj,worldwide_profit_adj,worldwide_bits,production_budget,production_budget_adj
Solaris,2002,Twentieth Century Fox Film Corporation,30002758,-16997242,42939727.02853809,-24326327.990180198,5172889.310344827,47000000,67266055.01871829
Treasure Planet,2002,Walt Disney Pictures,109578115,-30421885,156827393.88164768,-43539578.51453449,18892778.448275864,140000000,200366972.39618215
The Sword and the Sorcerer,1982,Sorcerer Productions,39103425,35103425,104275800,93609133.33333333,13300484.693877552,4000000,10666666.666666666
Analyze That,2002,Village Roadshow Pictures,55003135,-4996865,78720083.08748914,-7151476.510874634,9483299.137931034,60000000,85871559.59836379
Empire,2002,Universal Studios,18591272,14591272,26607692.02595653,20882921.38606561,3205391.724137931,4000000,5724770.6398909185
Adaptation.,2002,Beverly Detroit,32801173,13801173,46944798.03609568,19752137.49661382,5655374.655172414,19000000,27192660.539481863
Equilibrium,2002,Dimension Films,5359645,-14640355,7670684.584059541,-20953168.615395054,924076.724137931,20000000,28623853.199454594
Escape to Victory,1981,Paramount,27453418,17453418,77867876.4128179,49504240.0842493,9875330.215827338,10000000,28363636.328568593
Alone in the Dark,1982,New Line Cinema,8178569,-11821431,21809517.333333332,-31523816,2781826.1904761903,20000000,53333333.333333336
The Best Little Whorehouse in Texas,1982,Universal Pictures,69701637,34701637,185871032,92537698.66666667,23708039.795918368,35000000,93333333.33333333
Drumline,2002,Fox 2000 Pictures,57588485,37588485,82420217.03094964,53796363.83149505,9929049.137931034,20000000,28623853.199454594
Maid in Manhattan,2002,Red Om Films,154906693,99906693,221701322.00224903,142985725.70374888,26708050.51724138,55000000,78715596.29850014
Star Trek: Nemesis,2002,Paramount Pictures,67312826,7312826,96337622.49322152,10466062.894857736,11605659.655172415,60000000,85871559.59836379
About Schmidt,2002,New Line Cinema,105834556,75834556,151469639.7186728,108533859.91949093,18247337.24137931,30000000,42935779.79918189
The Lord of the Rings: The Two Towers,2002,WingNut Films,926287400,847287400,1325695727.9052238,1212631507.767378,159704724.13793105,79000000,113064220.13784565
